metricName,displayNameVi,unit,minValue,maxValue,gender,minAge,maxAge
Glucose,Duong huyet luc doi,mmol/L,3.9,5.6,,18,
HbA1c,HbA1c,%,4.0,5.6,,18,
Cholesterol,Cholesterol toan phan,mmol/L,0.0,5.17,,20,
Triglycerides,Triglycerides,mmol/L,0.0,1.69,,20,
HDL,HDL Cholesterol,mmol/L,1.03,999.0,male,20,
HDL,HDL Cholesterol,mmol/L,1.29,999.0,female,20,
LDL,LDL Cholesterol,mmol/L,0.0,2.59,,20,
Hemoglobin,Huyet sac to,g/L,138,172,male,18,
Hemoglobin,Huyet sac to,g/L,121,151,female,18,
WBC,Bach cau,10^9/L,4.5,11.0,,18,
AST,SGOT (AST),U/L,8,33,,18,
ALT,SGPT (ALT),U/L,4,36,,18,
Creatinine,Creatinin,umol/L,62,115,male,18,
Creatinine,Creatinin,umol/L,44,84,female,18,
Urea,Ure,mmol/L,2.14,7.14,,18,
