metricName,displayNameVi,unit,minValue,maxValue,attentionMin,attentionMax,gender,minAge,maxAge,aliases,sourceUrl,sourceTitle,sourcePublisher,accessedDate,rangeType,reviewerNote,conversionNote,methodSpecimenNote
Glucose,Duong huyet,mg/dL,70,99,54,125,,18,,Glucose|GLU|Duong huyet|Đường huyết|Gluco|Glycemia,https://www.cdc.gov/diabetes/diabetes-testing/index.html,Diabetes Testing,CDC,2026-05-23,clinical_decision_threshold,Fasting plasma glucose normal and prediabetes decision bands; document lab range wins,,Fasting plasma
HbA1c,HbA1c,%,4.0,5.6,3.5,6.4,,18,,HbA1c|A1C|HBA1C|Hemoglobin A1c|Duong huyet trung binh|Đường huyết trung bình,https://www.cdc.gov/diabetes/diabetes-testing/prediabetes-a1c-test.html,A1C Test for Diabetes and Prediabetes,CDC,2026-05-23,clinical_decision_threshold,Normal and prediabetes bands for adult screening; not a diagnosis by itself,,Whole blood
Cholesterol,Cholesterol toan phan,mg/dL,0,199,0,239,,18,,Cholesterol|Cholesterol total|Total cholesterol|TC|CHOL|Cholesterol toan phan|Cholesterol toàn phần,https://medlineplus.gov/cholesterollevelswhatyouneedtoknow.html,Cholesterol Levels What You Need to Know,MedlinePlus,2026-05-23,clinical_decision_threshold,Desirable and borderline-high adult total cholesterol bands; lower bound is physiological floor,,Serum
Triglycerides,Triglyceride,mg/dL,0,149,0,499,,18,,Triglycerides|Triglyceride|TG|TRIG|Triglycerid,https://medlineplus.gov/triglycerides.html,Triglycerides,MedlinePlus,2026-05-23,clinical_decision_threshold,Normal and high adult triglyceride bands; lower bound is physiological floor,,Serum fasting preferred
HDL,HDL Cholesterol,mg/dL,40,999,35,999,male,18,,HDL|HDL-C|HDLC|HDL Cholesterol|Cholesterol HDL,https://medlineplus.gov/cholesterollevelswhatyouneedtoknow.html,Cholesterol Levels What You Need to Know,MedlinePlus,2026-05-23,clinical_decision_threshold,Adult male HDL desirable lower threshold; high values usually protective but interpret clinically,,Serum
HDL,HDL Cholesterol,mg/dL,50,999,40,999,female,18,,HDL|HDL-C|HDLC|HDL Cholesterol|Cholesterol HDL,https://medlineplus.gov/cholesterollevelswhatyouneedtoknow.html,Cholesterol Levels What You Need to Know,MedlinePlus,2026-05-23,clinical_decision_threshold,Adult female HDL desirable lower threshold; high values usually protective but interpret clinically,,Serum
LDL,LDL Cholesterol,mg/dL,0,99,0,159,,18,,LDL|LDL-C|LDLC|LDL Cholesterol|Cholesterol LDL,https://medlineplus.gov/cholesterollevelswhatyouneedtoknow.html,Cholesterol Levels What You Need to Know,MedlinePlus,2026-05-23,clinical_decision_threshold,Optimal and borderline-high adult LDL bands; lower bound is physiological floor,,Serum
Hemoglobin,Huyet sac to,g/dL,13.2,17.7,10.0,20.0,male,18,,Hemoglobin|HGB|Hb|Huyet sac to|Huyết sắc tố,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult male public laboratory interval; app fallback only,,Whole blood EDTA
Hemoglobin,Huyet sac to,g/dL,11.9,15.5,9.0,18.0,female,18,,Hemoglobin|HGB|Hb|Huyet sac to|Huyết sắc tố,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult female public laboratory interval; app fallback only,,Whole blood EDTA
WBC,Bach cau,10^9/L,3.7,10.5,2.0,15.0,,18,,WBC|White blood cell|Leukocyte|Bach cau|Bạch cầu|BC,https://www.healthcare.uiowa.edu/path_handbook/rhandbook/test299.html,CBC Complete Blood Count,University of Iowa Health Care,2026-05-23,lab_specific_interval,Adult public laboratory interval; app fallback only,,Whole blood EDTA
